El Salvador,Salvadoran,,,,,
Equatorial Guinea,Equatorial Guinean,Equatoguinean,,,,
Eritrea,Eritrean,,,,,
Estonia,Estonian,,,,,
Ethiopia,Ethiopian,,,,,
European Union,European,,,,,
Falkland Islands,Falkland Island,,,,,
Faroe Islands,Faroese,,,,,
Fiji,Fijian,,,,,
Finland,Finnish,,,,,
France,French,,,,,
French Guiana,French Guianese,,,,,
French Polynesia,French Polynesian,,,,,
French Southern Territories,French Southern Territories,,,,,
Gabon,Gabonese,,,,,
"Gambia, The",Gambian,Gambia,,,,
Georgia,Georgian,,,,,
Germany,German,,,,,
Ghana,Ghanaian,,,,,
Gibraltar,Gibraltar,,,,,
Greece,Greek,Hellenic,,,,
Greenland,Greenlandic,,,,,
Grenada,Grenadian,,,,,
Guadeloupe,Guadeloupe,,,,,
Guam,Guamanian,Guambat,,,,
Guatemala,Guatemalan,,,,,
Guernsey,Channel Island,,,,,
Guinea,Guinean,,,,,
Guinea-Bissau,Bissau-Guinean,,,,,
Guyana,Guyanese,,,,,
Haiti,Haitian,,,,,
Heard Island and McDonald Islands,Heard Island,McDonald Islands,,,,
Honduras,Honduran,,,,,
Hong Kong,Hong Kong,Hong Kongese,,,,
Hungary,Hungarian,Magyar,,,,
Iceland,Icelandic,,,,,
India,Indian,,,,,
Indonesia,Indonesian,,,,,
Iran,Iranian,Persian,,,,
Iraq,Iraqi,,,,,
Ireland,Irish,,,,,
Isle of Man,Manx,,,,,
Israel,Israeli,,,,,
Italy,Italian,,,,,
Ivory Coast,Ivorian,Cote d’Ivoire,,,,
Jamaica,Jamaican,,,,,
Jan Mayen,Jan Mayen,,,,,
Japan,Japanese,,,,,
Jersey,Channel Island,,,,,
Jordan,Jordanian,,,,,
Kazakhstan,Kazakhstani,Kazakh,,,,
Kenya,Kenyan,,,,,
Kiribati,I-Kiribati,,,,,
Kosovo,Kosovar,Kosovan,,,,
Kuwait,Kuwaiti,,,,,
Kyrgyzstan,Kyrgyzstani,Kyrgyz,Kirgiz,Kirghiz,,
Laos,Lao,Laotian,,,,
Latvia,Latvian,Lettish,,,,
Lebanon,Lebanese,,,,,
Lesotho,Basotho,,,,,
Liberia,Liberian,,,,,
Libya,Libyan,,,,,
Liechtenstein,Liechtensteiner,,,,,
Lithuania,Lithuanian,,,,,
Luxembourg,Luxembourg,Luxembourgish,,,,
Macau,"Macanese, Chinese",,,,,
"Macedonia, Republic of",Macedonian,Macedonia,,,,
Madagascar,Malagasy,,,,,
Malawi,Malawian,,,,,
Malaysia,Malaysian,,,,,
Maldives,Maldivian,,,,,
Mali,Malian,Malinese,,,,
Malta,Maltese,,,,,
Marshall Islands,Marshallese,,,,,
Martinique,Martiniquais,Martinican,,,,
Mauritania,Mauritanian,,,,,
Mauritius,Mauritian,,,,,
Mayotte,Mahoran,,,,,
Mexico,Mexican,,,,,
"Micronesia, Federated States of",Micronesian,Federated States of Micronesia,Micronesia,,,
Moldova,Moldovan,,,,,
Monaco,Monégasque,Monacan,Monegasque,,,
Mongolia,Mongolian,,,,,
Montenegro,Montenegrin,,,,,
Montserrat,Montserratian,,,,,
Morocco,Moroccan,,,,,
Mozambique,Mozambican,,,,,
Myanmar,Burmese,,,,,
Namibia,Namibian,,,,,
Nauru,Nauruan,,,,,
Nepal,Nepali,Nepalese,,,,
Netherlands,Dutch,Netherlandic,the Netherlands,,,
New Caledonia,New Caledonian,,,,,
New Zealand,New Zealand,,,,,
Nicaragua,Nicaraguan,,,,,
Niger,Nigerien,,,,,
Nigeria,Nigerian,,,,,
Niue,Niuean,,,,,
Norfolk Island,Norfolk Island,,,,,
North Korea,North Korean,,,,,
Northern Ireland,Northern Irish,,,,,
Northern Mariana Islands,Northern Marianan,,,,,
Norway,Norwegian,,,,,
Oman,Omani,,,,,
Pakistan,Pakistani,,,,,
Palau,Palauan,,,,,
Palestine,Palestinian,,,,,
Panama,Panamanian,,,,,
Papua New Guinea,Papua New Guinean,Papuan,,,,
Paraguay,Paraguayan,,,,,
Peru,Peruvian,,,,,
Philippines,Filipino,Philippine,,,,
Pitcairn Islands,Pitcairn Island,,,,,
Poland,Polish,,,,,
Portugal,Portuguese,,,,,
Puerto Rico,Puerto Rican,,,,,
Qatar,Qatari,,,,,
Romania,Romanian,,,,,
Russia,Russian,,,,,
Rwanda,Rwandan,,,,,
Saba,Saba,,,,,
Saint Barthélemy,Barthélemois,,,,,
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian,St. Helena,,,,
Saint Kitts and Nevis,Kittitian,Nevisian,,,,
Saint Lucia,Saint Lucian,St. Lucia,,,,
Saint Martin,Saint-Martinoise,St. Martin,,,,
Saint Pierre and Miquelon,Saint-Pierrais,Miquelonnais,,,,
Saint Vincent and the Grenadines,Saint Vincentian,Vincentian,St. Vincent and the Grenadines,,,
Samoa,Samoan,,,,,
San Marino,Sammarinese,,,,,
São Tomé and Príncipe,São Toméan,Sao Tome and Principe,,,,
Saudi Arabia,Saudi,Saudi Arabian,,,,
Scotland,Scottish,,,,,
Senegal,Senegalese,,,,,
Serbia,Serbian,,,,,
Seychelles,Seychellois,,,,,
Sierra Leone,Sierra Leonean,,,,,
Singapore,Singapore,Singaporean,,,,
Sint Eustatius,Sint Eustatius,Statian,,,,
Sint Maarten,Sint Maarten,,,,,
Slovakia,Slovak,,,,,
Slovenia,Slovenian,Slovene,,,,
Solomon Islands,Solomon Island,,,,,
Somalia,Somali,,,,,
Somaliland,Somalilander,,,,,
South Africa,South African,,,,,
South Georgia and the South Sandwich Islands,South Georgia,South Sandwich Islands,,,,
South Korea,South Korean,,,,,
South Ossetia (Region of Georgia),South Ossetian,,,,,
South Sudan,South Sudanese,,,,,
Soviet Union,USSR,Soviet,,,,
Spain,Spanish,,,,,
Sri Lanka,Sri Lankan,,,,,
Sudan,Sudanese,,,,,
Suriname,Surinamese,Surinam,,,,
Svalbard,Svalbard,,,,,
Swaziland,Swazi,,,,,
Sweden,Swedish,,,,,
Switzerland,Swiss,,,,,
Syria,Syrian,,,,,
Tajikistan,Tajikistani,,,,,
Tanzania,Tanzanian,,,,,
Thailand,Thai,,,,,
Togo,Togolese,,,,,
Tokelau,Tokelauan,,,,,
Tonga,Tongan,,,,,
Trinidad and Tobago,Trinidadian,Tobagonian,,,,
Tunisia,Tunisian,,,,,
Turkey,Turkish,,,,,
Turkmenistan,Turkmen,Turkmenistani,,,,
Turks and Caicos Islands,Turks and Caicos Island,,,,,
Tuvalu,Tuvaluan,,,,,
Uganda,Ugandan,,,,,
Ukraine,Ukrainian,,,,,
United Arab Emirates,Emirati,Emiri,Emirian,,,
United Kingdom of Great Britain and Northern Ireland,British,United Kingdom,UK,,,
United States of America,United States,US,USA,U.S.,U.S.A.,
Uruguay,Uruguayan,,,,,
Uzbekistan,Uzbekistani,Uzbek,,,,
Vanuatu,Ni-Vanuatu,Vanuatuan,,,,
Vatican City State,Vatican,Vatican City,,,,
Venezuela,Venezuelan,,,,,
Vietnam,Vietnamese,,,,,
"Virgin Islands, British",British Virgin Island,,,,,
"Virgin Islands, United States",U.S. Virgin Islands,US Virgin Islands,,,,
Wallis and Futuna,Wallis and Futuna,Wallisian,Futunan,,,
Western Sahara,Sahrawi,Sahrawian,Sahraouian,,,
Yemen,Yemeni,,,,,
Yugoslavia,Yugoslav,Yugoslavian,,,,
Zambia,Zambian,,,,,
Zimbabwe,Zimbabwean,,,,,
